match_id,path,time_index,seconds_after_context,requested_dose_uu,effective_dose_seed_mean_uu,effective_dose_seed_min_uu,effective_dose_seed_max_uu,clipped_seed_count,view0_height_change_seed_mean_uu,allviews_height_change_seed_mean_uu
2026-05-14T22-34-33Z-a2015e,probe_linear,0,0.1,300.0,300.0,300.0,300.0,0,-1.622161865234375,1.098623275756836
2026-05-14T22-34-33Z-a2015e,probe_linear,0,0.1,600.0,600.0,599.9999999999999,600.0,1,-1.5787086486816406,1.5974655151367188
2026-05-14T22-34-33Z-a2015e,probe_linear,1,0.2,-600.0,-313.9101066278163,-353.6552656285245,-274.16494762710806,2,-2.002147674560547,-0.8102293014526367
2026-05-14T22-34-33Z-a2015e,probe_linear,1,0.2,-300.0,-287.08247381355403,-300.0,-274.16494762710806,1,-1.8221664428710938,-0.9795093536376953
2026-05-14T22-34-33Z-a2015e,probe_linear,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T22-34-33Z-a2015e,probe_linear,1,0.2,300.0,300.0,300.0,300.0,0,-0.7348251342773438,0.6508121490478516
2026-05-14T22-34-33Z-a2015e,probe_linear,1,0.2,600.0,600.0,599.9999999999999,600.0,1,-1.4044876098632812,0.4365386962890625
2026-05-14T22-34-33Z-a2015e,probe_linear,2,0.3,-600.0,-313.9101066278163,-353.6552656285245,-274.16494762710806,2,0.38169097900390625,-1.413858413696289
2026-05-14T22-34-33Z-a2015e,probe_linear,2,0.3,-300.0,-287.08247381355403,-300.0,-274.16494762710806,1,-0.381683349609375,-0.74420166015625
2026-05-14T22-34-33Z-a2015e,probe_linear,2,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T22-34-33Z-a2015e,probe_linear,2,0.3,300.0,300.0,300.0,300.0,0,1.2455978393554688,-0.15889358520507812
2026-05-14T22-34-33Z-a2015e,probe_linear,2,0.3,600.0,600.0,599.9999999999999,600.0,1,0.093719482421875,-0.2572956085205078
2026-05-14T22-34-33Z-a2015e,probe_linear,3,0.4,-600.0,-313.9101066278163,-353.6552656285245,-274.16494762710806,2,-7.62939453125e-06,-0.30352210998535156
2026-05-14T22-34-33Z-a2015e,probe_linear,3,0.4,-300.0,-287.08247381355403,-300.0,-274.16494762710806,1,0.1874237060546875,0.4698657989501953
2026-05-14T22-34-33Z-a2015e,probe_linear,3,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T22-34-33Z-a2015e,probe_linear,3,0.4,300.0,300.0,300.0,300.0,0,0.8068084716796875,0.1880645751953125
2026-05-14T22-34-33Z-a2015e,probe_linear,3,0.4,600.0,600.0,599.9999999999999,600.0,1,-0.7199249267578125,0.12715530395507812
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,-600.0,-426.90250288397124,-445.4788671416268,-408.32613862631575,2,0.0954132080078125,0.1472034454345703
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,-300.0,-300.0,-300.0,-300.0,0,1.7891387939453125,-0.19102954864501953
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,300.0,300.0,299.99999999999994,300.0,1,1.6707191467285156,1.7742156982421875
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,600.0,600.0,600.0,600.0,0,1.9578323364257812,0.5965166091918945
2026-05-15T03-56-59Z-e3a44c,probe_linear,1,0.2,-600.0,-426.90250288397124,-445.4788671416268,-408.32613862631575,2,-0.47542572021484375,-1.322667121887207
2026-05-15T03-56-59Z-e3a44c,probe_linear,1,0.2,-300.0,-300.0,-300.0,-300.0,0,3.010059356689453,-0.5405473709106445
2026-05-15T03-56-59Z-e3a44c,probe_linear,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0
