model,variant,target,r2,mae,rmse
RGB_X/absolute30/all,mean_baseline,ball.location.y,-0.009580783883050614,2301.5412136672608,2730.790030642984
RGB_X/absolute30/all,mean_baseline,ball.location.z,-0.011644381696993333,374.2821438935884,471.1725480170597
RGB_X/absolute30/all,mean_baseline,ball.velocity.x,-0.004244654594609765,674.6953217536045,853.036687873536
RGB_X/absolute30/all,mean_baseline,ball.velocity.y,-0.0036194843360590756,992.2849696820493,1221.834772435584
RGB_X/absolute30/all,mean_baseline,ball.velocity.z,-0.004337311129713806,397.01703717377535,537.0184928494391
RGB_X/absolute30/all,mean_baseline,player0.location.x,-0.004061532980069504,1791.291018186244,2138.559173126263
RGB_X/absolute30/all,mean_baseline,player0.location.y,-0.005247244997540257,2275.493365710031,2634.2921980254073
RGB_X/absolute30/all,mean_baseline,player0.location.z,-0.0007059736389880555,89.94023355699402,162.60487028163828
RGB_X/absolute30/all,mean_baseline,player0.velocity.x,-0.0002704508834190378,738.9990047216809,890.3095942357807
RGB_X/absolute30/all,mean_baseline,player0.velocity.y,-0.0035577751973714378,985.977645857528,1139.8000099816127
RGB_X/absolute30/all,mean_baseline,player0.velocity.z,-0.0008102598608903389,72.4989113988421,166.07624697552515
RGB_X/absolute30/all,mean_baseline,player1.location.x,-0.014778076768861448,1727.8257044851055,2100.8900829340287
RGB_X/absolute30/all,mean_baseline,player1.location.y,-0.015010201279291202,2197.192751359771,2606.1406860804723
RGB_X/absolute30/all,mean_baseline,player1.location.z,-0.009584642205668237,97.80023404255002,139.71330934018368
RGB_X/absolute30/all,mean_baseline,player1.velocity.x,-0.0006408076733923629,686.9041393019569,840.9589774570801
RGB_X/absolute30/all,mean_baseline,player1.velocity.y,-1.138454244675735e-05,916.0526462361835,1074.7032869764535
RGB_X/absolute30/all,mean_baseline,player1.velocity.z,-0.005618175667208236,108.89376912896446,209.5126598266042
RGB_X/absolute30/all,mean_baseline,player2.location.x,-0.005440806206312265,1752.2053648317922,2133.953212522112
RGB_X/absolute30/all,mean_baseline,player2.location.y,-0.003419445648666475,2470.760593324129,2928.3109621467024
RGB_X/absolute30/all,mean_baseline,player2.location.z,-0.0002812393951454606,97.47023478301243,167.43726045096446
RGB_X/absolute30/all,mean_baseline,player2.velocity.x,-0.005489061778163773,744.7823823144371,890.6957715054511
RGB_X/absolute30/all,mean_baseline,player2.velocity.y,-0.00094724702047011,946.2121989705495,1109.0066792979926
RGB_X/absolute30/all,mean_baseline,player2.velocity.z,-0.006027882879908963,119.5975905257457,232.9132944137804
RGB_X/absolute30/all,mean_baseline,player3.location.x,-0.0030909602692983373,1765.057534397913,2132.5323990091183
RGB_X/absolute30/all,mean_baseline,player3.location.y,-0.0010031081229333605,2359.367222481406,2792.879243679567
RGB_X/absolute30/all,mean_baseline,player3.location.z,-0.011126232374874645,89.00177108944708,174.72501578367607
RGB_X/absolute30/all,mean_baseline,player3.velocity.x,-0.00311515707184018,744.8540393290435,888.130598775411
RGB_X/absolute30/all,mean_baseline,player3.velocity.y,-0.02061054710366328,932.5662282461398,1090.486287630653
