record_id,path,requested_dose,effective_dose,actual_internal_height_probe_delta,linear_probe_delivery_fraction,relative_descriptor_mismatch,actual_to_requested_raw_norm,descriptor_delta_cosine
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_affine_forward_dose+600,affine_forward,600.0,600.0000000000001,314.43003402938473,,0.024660733786436167,1.0051368964952276,0.9997107876911046
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_affine_forward_dose-300,affine_forward,-300.0,-300.0,-156.4706958322306,,0.03657716124759814,1.0181522753194538,0.9993958045689701
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_affine_forward_dose-600,affine_forward,-600.0,-506.3026898945899,-265.71707694024417,,0.02634437650956603,1.007022076612116,0.9996747755706367
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_probe_linear_dose+300,probe_linear,300.0,300.0,297.3368038617267,0.9911226795390891,0.03429328450374029,1.0268323868672422,0.9994419845773621
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_probe_linear_dose+600,probe_linear,600.0,600.0000000000001,598.6659521724677,0.9977765869541125,0.018864924401172233,1.0080922606840512,0.9998237928196498
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_probe_linear_dose-300,probe_linear,-300.0,-300.0,-297.28562548211727,0.9909520849403909,0.03416533674945181,1.0266852587974076,0.9994477992796961
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_probe_linear_dose-600,probe_linear,-600.0,-506.3026898945899,-505.0569998543648,0.9975396337702956,0.022120915761586486,1.0115366540825068,0.9997572543190966
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_quadratic_forward_dose+300,quadratic_forward,300.0,300.0,154.45927347803877,,0.035113768331081194,1.0189061020105747,0.9994479256718516
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_quadratic_forward_dose+600,quadratic_forward,600.0,600.0000000000001,292.79651082995736,,0.023355094350710426,1.0048748204539724,0.999743312341975
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_quadratic_forward_dose-300,quadratic_forward,-300.0,-300.0,-171.43992511705187,,0.032990206485628885,1.0118997569018613,0.9995155011813217
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_quadratic_forward_dose-600,quadratic_forward,-600.0,-506.3026898945899,-300.6224486613787,,0.024787659139452335,1.003988682774795,0.9997078751043287
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_random_norm_dose+300,random_norm,300.0,300.0,1.602218384166349,,0.027572041737806148,1.0226917920053094,0.9996228909547953
